iter	Passed	Remaining
956	7780	349
957	7787	341
958	7796	333
959	7803	325
960	7813	317
961	7820	308
962	7829	300
963	7835	292
964	7845	284
965	7851	276
966	7861	268
967	7867	260
968	7877	252
969	7886	243
970	7896	235
971	7902	227
972	7913	219
973	7919	211
974	7929	203
975	7935	195
976	7945	187
977	7951	178
978	7961	170
979	7968	162
980	7977	154
981	7984	146
982	8011	138
983	8022	130
984	8028	122
985	8038	114
986	8044	105
987	8054	97
988	8061	89
989	8070	81
990	8080	73
991	8089	65
992	8095	57
993	8105	48
994	8112	40
995	8123	32
996	8133	24
997	8140	16
998	8150	8
999	8157	0
